,Text,Date,Sentiment
28,Shipping Corporation soars 10% on govt's approval to demerger plan,2023-02-23 00:00:00,-1
29,"ITC up 2%, hits record high; stock gallops over 19% from Budget Day low",2023-02-23 00:00:00,1
30,HG Infra rises 4% on Rs 535 cr-order win from RVNL; stock up 30% in 3 mths,2023-02-23 00:00:00,1
31,"LIC Housing Finance, HDFC: Trading strategies for housing finance companies",2023-02-23 00:00:00,0
32,RateGain Travel up 4% after it inks pact with cloud-based property platform,2023-02-23 00:00:00,1
33,Sandur Manganese zooms 11% on approval to increase production,2023-02-23 00:00:00,1
34,Zee Entertainment tanks 14% as NCLT admits company to insolvency resolution,2023-02-23 00:00:00,1
35,"Amid record aircraft orders, aviation remains a long-term play: Analysts",2023-02-23 00:00:00,0
36,Exchanges reclassify Sameer Gehlaut's stake as 'public'; stock falls 5%,2023-02-23 00:00:00,-1
37,Sonata Software jumps over 4% on acquiring US-based Quant Systems,2023-02-23 00:00:00,1
38,"Nifty holds 17,500, ends Feb F&O series 2% down; Sensex drops 139 pts",2023-02-23 00:00:00,0
39,"Stocks to Watch: Adani Green, Sonata Software, HG Infra, Zee Entertainment",2023-02-23 00:00:00,1
40,Sebi proposes to tighten regulations on issuance of bonus shares,2023-02-22 00:00:00,0
41,Sensex sees worst day in two months on US Fed interest rate fears,2023-02-22 00:00:00,-1
42,Debt funds may again draw investors' attention as yields improve,2023-02-22 00:00:00,0
43,Sebi beefs up cybersecurity measures for regulated intermediaries,2023-02-22 00:00:00,1
44,"No respite for Adani Group firms from market carnage, loses over $140 bn",2023-02-22 00:00:00,-1
45,Investors should remain upbeat on cement sector; price hike is a positive,2023-02-22 00:00:00,1
46,"Treasury Bill yields soar over tighter liquidity, inflation worries",2023-02-22 00:00:00,-1
47,"M-cap ranking: India worst-performing in 2023, United Kingdom now sixth",2023-02-22 00:00:00,-1
48,Cyient hits 52-week high on pact with Thingtrax; stock surges 7% in 3 days,2023-02-22 00:00:00,1
49,Sensex crashes over 900 points: Top 4 factors behind a wobbly Wednesday,2023-02-22 00:00:00,-1
50,"Real estate shares weak; Godrej Properties, DLF, Mahindra Life shed 3% each",2023-02-22 00:00:00,-1
51,Adani group shares extend fall; Adani Total Gas tanks 79% in one month,2023-02-22 00:00:00,-1
52,"Siemens, JSL: 9 stocks in Nifty 500 top new highs despite sluggish mood",2023-02-22 00:00:00,1
53,Shares of air-conditioner makers rally up to 7% amid heat wave alert,2023-02-22 00:00:00,1
54,CRISIL upgrades DB Power's rating after Adani Power calls off acquisition,2023-02-22 00:00:00,1
55,"IRB Infra up 6%, nears 52-week high as stock trades ex-split in 1:10 ratio",2023-02-22 00:00:00,1
56,"Chaman Lal, KRBL: Firm demand to keep rice shares steaming, say analysts",2023-02-22 00:00:00,1
57,Triveni Turbine rises 2% to hit new high in weak market on strong outlook,2023-02-22 00:00:00,1
58,"Sensex crashes 928 pts, ends below 60K; Nifty near 17,550 amid global rout",2023-02-22 00:00:00,-1
59,"Stocks to Watch: M&M, Reliance, Sapphire Foods, CE Info, BEL, Hind Zinc",2023-02-22 00:00:00,1
60,"Sensex, Nifty end lower in choppy trade, extend losses for third day",2023-02-21 00:00:00,-1
61,Sebi proposes change in governance norms to give more power to shareholders,2023-02-21 00:00:00,1
62,Trading hours for interest rate derivatives extended till 5 pm by NSE,2023-02-21 00:00:00,0
63,Practice of permanent board seats at listed companies likely to end,2023-02-21 00:00:00,0
64,"Oil & gas, power form bulk of stocks sold by FPIs in first fortnight of Feb",2023-02-21 00:00:00,-1
65,"Indian jeweller Joyalukkas drops public listing plan, withdraws $278 mn IPO",2023-02-21 00:00:00,-1
66,"BPCL, Tata Motors lead upgrades race after Q3, Zomato, ABFRL downgraded",2023-02-21 00:00:00,0
67,"Jobs in small towns, gender diversity to earn India Inc better ESG ratings",2023-02-21 00:00:00,1
68,"Freeze demat accounts of MDs and CEOs for non-compliance, says Sebi",2023-02-21 00:00:00,-1
69,Pantomath buys 37.2% in broking firm Asit C Mehta through subsidiary,2023-02-21 00:00:00,1
70,"IRB Infra up 4% as it emerges preferred bidder for Rs 2,132 cr BOT project",2023-02-21 00:00:00,1
71,This beaten down pharma stock has zoomed over 50% in last 11 trading days,2023-02-21 00:00:00,-1
72,Zen Technologies hits record high; up 35% in one month on robust Q3 results,2023-02-21 00:00:00,1
73,Minda Corp slips 9% in 3 days after it acquires 15.7% stake in Pricol,2023-02-21 00:00:00,-1
74,Power stocks surge as govt orders coal-based plants to run at full capacity,2023-02-21 00:00:00,1
75,Nifty Pharma dips to 7-mth low; bears may gain control if breaks 52-wk low,2023-02-21 00:00:00,-1
76,Combined equity market value of 10 Adani Group firms slips below $100 bn,2023-02-21 00:00:00,-1
77,"BSE Capital Goods index nears record high; Siemens, L&T gain up to 3%",2023-02-21 00:00:00,1
78,"Delhivery jumps 5%, gains 14% in seven straight days post Q3 results",2023-02-21 00:00:00,1
79,Marine Electricals rallies 5% after it bags order from Goa Shipyard,2023-02-21 00:00:00,1
80,"Uflex drops 4%, hits 52-wk low on report of Income-Tax raid at Noida office",2023-02-21 00:00:00,-1
81,Adani Power hits fourth 5% upper circuit; No respite for Adani Green,2023-02-21 00:00:00,0
82,"Sensex, Nifty end flat after volatile day; NTPC gains 3%, PSB index dips 2%",2023-02-21 00:00:00,-1
83,"Stocks to Watch: Asian Paints, Adani Green, JK Tyre, Tata Motors, GR Infra",2023-02-21 00:00:00,1
84,"Sensex, Nifty extend losses on lingering worries over interest rates",2023-02-20 00:00:00,-1
85,Sebi issues consultation paper on disclosure requirements for listed firms,2023-02-20 00:00:00,0
86,Good upside seen in Oil India stock; most analysts are positive,2023-02-20 00:00:00,1
87,Losing traction: BAFs' dream run halts even as equity market stays volatile,2023-02-20 00:00:00,0
88,"State Bank of India issues Rs 4.5K-crore in AT1, half of the amount planned",2023-02-20 00:00:00,0
89,"Fresh bout of selling sees Adani m-cap go down by Rs 25,000 crore",2023-02-20 00:00:00,1
90,"Cera Sanitaryware soars 8%, hits new high in weak market on healthy outlook",2023-02-20 00:00:00,1
91,Lumax Auto soars 12% as it acquires majority stake in IAC Group's India biz,2023-02-20 00:00:00,1
92,Stock bearing the brunt of Adani Group rout is at risk of more losses,2023-02-20 00:00:00,-1
93,"Charts indicate robust bias for RIL, ONGC amid GST inclusion hopes",2023-02-20 00:00:00,0
94,Sonata Software surges 26% in one month; stock nears record high,2023-02-20 00:00:00,1
95,NMDC's demerged Chhattisgarh unit hits 5% upper circuit on market debut,2023-02-20 00:00:00,1
96,Samvardhana Motherson's SAS acquisition reasonably priced: Analysts,2023-02-20 00:00:00,1
97,Cipla dips 7% after Pithampur unit receives 8 USFDA observations,2023-02-20 00:00:00,-1
98,"Banks, RIL drag Sensex 311 pts down, Nifty below 17,850; Adani Ent falls 6%",2023-02-20 00:00:00,-1
99,"Stocks to watch: HUL, United Breweries, Motherson, Sun Pharma, Paytm, Cipla",2023-02-20 00:00:00,1
100,"Street signs: Nifty Next 50 rebalance, home-grown tech stocks, and more",2023-02-20 00:00:00,0
101,Promoter share pledge rises to 1.61% in October-December quarter,2023-02-20 00:00:00,1
102,"ArcelorMittal, JSW in NMDC steel plant race; JSPL also in the fray",2023-02-19 00:00:00,1
103,"Mutual funds' collection through NFO drops 38% to Rs 62,000 crore in 2022",2023-02-19 00:00:00,-1
104,"Global trends, foreign funds movement to guide equities this week",2023-02-19 00:00:00,0
105,"FPIs shift focus back on Indian market; invests Rs 7,600 cr in a week",2023-02-19 00:00:00,0
106,"Mcap of five of top-10 most valued firms jump Rs 95,337 cr last week",2023-02-19 00:00:00,1
107,"NSE to include Adani Wilmar, Adani Power in few indices from March 31",2023-02-18 00:00:00,1
108,Signs that Adani shock for India's $3.1 trn stock market is ebbing fast,2023-02-18 00:00:00,-1
109,"Increase in trade volume 'market driven', says Adani Transmission",2023-02-17 00:00:00,0
110,Most Adani Group dollar bonds exit distressed levels on debt promises,2023-02-17 00:00:00,-1
111,Markets decline over Fed officials' hawkish remarks; Sensex down 316 pts,2023-02-17 00:00:00,-1
112,L&T MF and ex-officials settle inter-scheme transfer case with Sebi,2023-02-17 00:00:00,0
113,"Sebi aims to prune costs further for MF investors, may bring GST under TER",2023-02-17 00:00:00,-1
114,Kotak Mahindra Bank added to FTSE index nine years after being removed,2023-02-17 00:00:00,1
115,PTC Industries hits 10% upper circuit as arm wins Safran Aircraft order,2023-02-17 00:00:00,1
116,Bajaj Steel extends rally on sale of plastic division; stock spurts 13%,2023-02-17 00:00:00,1
117,Stock of this iron & steel products company has zoomed 101% in 6 months,2023-02-17 00:00:00,1
118,"Defence stocks: HAL poised for a historic peak; BDL, BEL test key levels",2023-02-17 00:00:00,0
119,"Ipca Labs slips 5%, hits 52-week low on weak December quarter results",2023-02-17 00:00:00,-1
120,"Cement shares in focus; UltraTech, Dalmia Bharat hit 52-week highs",2023-02-17 00:00:00,1
121,"Record gold price may not bring back sheen in Muthoot, Manappuram: Analysts",2023-02-17 00:00:00,0
122,Medanta hits highest level since listing; stock surges 13% in 2 days,2023-02-17 00:00:00,1
123,"Minda Corp, Pricol surge up to 6% amid stake sale buzz",2023-02-17 00:00:00,1
124,Dollar jumps to six-week high in early trade on higher rate expectations,2023-02-17 00:00:00,1
125,"Sensex snaps 3-day winning run, sheds 317 pts; Banks, realty shares decline",2023-02-17 00:00:00,-1
126,"Stocks to watch: HDFC, Ambuja Cements, HAL, RailTel Corp, RPP Infra",2023-02-17 00:00:00,1
127,Global body Iosco flags challenges to operational independence,2023-02-16 00:00:00,-1
128,"With returns no better than flexi-caps, ELSS faces an uncertain future",2023-02-16 00:00:00,-1
129,"India's exports rise in both value, volume terms in 2022: GTRI report",2023-02-16 00:00:00,1
130,"FCI sells 385,000 tonnes wheat in open market via e-auction, control prices",2023-02-16 00:00:00,0
131,"Gokaldas Exports hits 4-month high, rallies 15% in one week post Q3 results",2023-02-16 00:00:00,1
132,Bharat Dynamics soars 11% after it signs 10 MoUs at Aero India 2023,2023-02-16 00:00:00,1
133,"PI Industries extends rally, soars 12% in two days on better growth outlook",2023-02-16 00:00:00,1
134,"Half of Nifty 50 stocks yet to reclaim Budget peaks, breadth stays fragile",2023-02-16 00:00:00,1
135,IT shares in focus; TCS hits 9-mth high; Tech Mahindra surges 11% in 2 days,2023-02-16 00:00:00,1
136,Indian shares rise after US retail sales data lifts global sentiment,2023-02-16 00:00:00,1
137,"Shares of ONGC, Oil India fire up as govt slashes windfall tax sharply",2023-02-16 00:00:00,1
138,New tax norm to hurt insurers; stocks attractive for the long run: Analysts,2023-02-16 00:00:00,-1
139,InterGlobe Aviation slips 5% after 4% equity changes hands via block deal,2023-02-16 00:00:00,-1
140,"Sensex, Nifty end flat amid late sell-off; IT, broader indices hold gains",2023-02-16 00:00:00,0
141,"Stocks to watch: Nestle India, NTPC, HAL, Bharat Dynamics, MTNL, BEL",2023-02-16 00:00:00,1
142,Street concerns over global slowdown weighs on Bharat Forge stock,2023-02-16 00:00:00,-1
143,"MFIs set for better days, as collection improves, loan sales jump",2023-02-15 00:00:00,1
144,"Sensex pares early losses, Nifty reclaims 18K mark amid mixed global trends",2023-02-15 00:00:00,1
145,Retail investors keep faith on India stocks despite recent Adani rout,2023-02-15 00:00:00,0
146,Global index provider MSCI mulls not including stocks under ASM in indices,2023-02-15 00:00:00,0
147,"NSE, CME Group tie up to launch Nymex crude, natural gas derivatives",2023-02-15 00:00:00,1
148,FPI surpass retail in getting investment calls right in Dec 2022 quarter,2023-02-15 00:00:00,1
149,ED raids mobile app offices in different cities dealing in cryptocurrencies,2023-02-15 00:00:00,-1
150,Wheat prices fall by Rs 5/kg after launch of open market sale: Food Secy,2023-02-15 00:00:00,0
151,"Rupa & Co, Dollar Ind, Kitex Garments hit 52-wk lows on weak Q3 results",2023-02-15 00:00:00,-1
152,Finolex Cables hits over 4-yr high;  stock up 15% in a week post strong Q3,2023-02-15 00:00:00,1
153,Eicher Motors rallies 5% on better than expected Q3 earnings,2023-02-15 00:00:00,1
154,"Aero India Show: Defence stocks a good long-term bet, say analysts",2023-02-15 00:00:00,1
155,"DLF, Sunteck Realty: Stay cautious; realty index violates key support level",2023-02-15 00:00:00,0
156,"Nestle's Q4 revenues may rise up to 17% YoY, agri-inflation to dent margins",2023-02-15 00:00:00,0
157,"Siemens gains 3%, hits record high on strong operational performance in Q1",2023-02-15 00:00:00,1
158,Bharat Forge dips 7% on weak performance of overseas subsidiaries in Q3,2023-02-15 00:00:00,-1
159,Mutual fund ownership of Adani group stocks is not very high: Equirus,2023-02-15 00:00:00,-1
160,Torrent Power soars 9% post Q3 results; announces special dividend,2023-02-15 00:00:00,1
161,"Sensex jumps 243 pts on late buying, Nifty reclaims 18,000; RIL gains 2%",2023-02-15 00:00:00,1
162,"Stocks to watch: Eicher Motors, Voda Idea, Siemens, Bharat Forge, ONGC",2023-02-15 00:00:00,1
163,"Sensex surges 600 points to scale 61,000-mark; ITC and RIL sparkle",2023-02-14 00:00:00,1
164,"Budget slow on fiscal consolidation, ambitious on revenue target: S&P",2023-02-14 00:00:00,-1
165,Bonds recoup losses after inflation shock as long-term players step in,2023-02-14 00:00:00,-1
166,Consumers in India becoming smart shoppers due to rising inflation: Study,2023-02-14 00:00:00,0
167,Hindenburg effect: Trading volumes rose amid rout in Adani Group shares,2023-02-14 00:00:00,-1
168,Adani rout creates a dent in Quant MF portfolios as key holdings shed 24%,2023-02-14 00:00:00,-1
169,India a bright spot for investments despite current volatility: Blackstone,2023-02-14 00:00:00,1
170,Gold declines Rs 55; silver tumbles Rs 455 in Delhi: HDFC Securities,2023-02-14 00:00:00,-1
171,Adani Enterprises bounces 17% from day's low on massive jump in Q3 profit,2023-02-14 00:00:00,1
172,"Adani row: We have robust framework to deal with mkt volatility, says Sebi",2023-02-14 00:00:00,1
173,Stock of this smallcap company has zoomed over 50% in four trading days,2023-02-14 00:00:00,1
174,Is the worst over for new-age tech companies? Here's what analysts say,2023-02-14 00:00:00,0
175,ITC gains 3% a day ahead of turning ex-dividend; stock nears record high,2023-02-14 00:00:00,1
176,6 out of 10 Adani group stocks locked at 5% lower circuit in firm market,2023-02-14 00:00:00,-1
177,Nykaa extends fall post Dec quarter results; stock down 8% in two days,2023-02-14 00:00:00,-1
178,"Zee Entertainment dips 4%, nears 52-week low on weak Q3 results",2023-02-14 00:00:00,1
179,"ITC, RIL, ICICI Bank help lift Sensex 600 pts higher, Nifty above 17,900",2023-02-14 00:00:00,1
180,"Stocks to watch: Adani Enterprises, ONGC, Nykaa, IRB Infra, Castrol India",2023-02-14 00:00:00,1
181,Sensex extends losses for second day; IT and bank stocks top drags,2023-02-13 00:00:00,-1
182,Info Edge: Investors must wait for sell-off to end before making new entry,2023-02-13 00:00:00,-1
183,"Equity investors remain bullish on metal and mining stocks, shows data",2023-02-13 00:00:00,1
184,Baring Private Equity Asia sells 10% stake in Coforge through a block deal,2023-02-13 00:00:00,-1
185,CBI gets NSE go-ahead to prosecute Chitra Ramkrishna in colocation case,2023-02-13 00:00:00,-1
186,"Brokerages raise ratings on Nippon, HDFC AMCs following better Q3 show",2023-02-13 00:00:00,1
187,"Infosys, TCS better equipped to weather ChatGPT-led disruption: JP Morgan",2023-02-13 00:00:00,1
188,Domestic commercial vehicle sales volume likely to grow by 9-11% in FY24,2023-02-13 00:00:00,1
189,"Analysts cautious on mid, smallcaps; await earnings catch-up",2023-02-13 00:00:00,-1
190,Brokerages downgrade Lupin post weak Q3; see up to 17% downside,2023-02-13 00:00:00,-1
191,Info Edge slumps 10% on Rs 116 cr Q3 loss; writes-off invst in 4B Network,2023-02-13 00:00:00,-1
192,"MSCI revision: CG Power, Bank Baroda look bullish on charts; avoid Biocon",2023-02-13 00:00:00,-1
193,City Union Bank shares crash 13.5% after Q3 earnings dip on quarterly basis,2023-02-13 00:00:00,-1
194,Balkrishna Industries tanks over 11% as Q3 profit plunges 68% YoY,2023-02-13 00:00:00,-1
195,Sebi to update FM Nirmala Sitharaman on Adani Group probe this week,2023-02-13 00:00:00,0
196,Oil India hits 8-month high on highest-ever quarterly profit in Q3FY23,2023-02-13 00:00:00,1
197,Coforge slides 7% as over 7 million equity shares change hands on bourses,2023-02-13 00:00:00,-1
198,Glenmark Pharma jumps 5% post December quarter earnings,2023-02-13 00:00:00,1
199,"Sensex slips 251 pts ahead of inflation data; SBI, IT shares fall",2023-02-13 00:00:00,-1
200,"Stocks to watch: M&M, Nykaa, SAIL, Sun Pharma, NALCO, Oil India, Tata Steel",2023-02-13 00:00:00,1
201,"YES Bank, PolicyBazaar added to FPI cart in October-December quarter",2023-02-13 00:00:00,1
202,Fast food gets a lot slower: Downgrades to bite quick-service restaurants,2023-02-13 00:00:00,0
203,"Street Signs: Anchor lock-in expiry, reversal of fortune for ETFs & more",2023-02-13 00:00:00,0
204,Sebi board likely to take up Adani stock rout at its meet this week,2023-02-12 00:00:00,-1
205,European banks operating in India seek 2-year breather for ESMA deadline,2023-02-12 00:00:00,0
206,Domestic market ownership rises for 5th quarter in a row to 24.44% in Dec,2023-02-12 00:00:00,1
207,"Six of top-10 firms lose Rs 49,231 crore in m-cap; HUL biggest laggard",2023-02-12 00:00:00,-1
208,"Macro data, global cues to guide markets this week, say analysts",2023-02-12 00:00:00,0
209,"Sebi proposes to enhance role, accountability of mutual fund trustees",2023-02-11 00:00:00,0
210,Adani Group firms pledge shares for lenders of AEL: SBICAP Trustee,2023-02-11 00:00:00,1
211,Tight liquidity makes Adani Group dollar bonds a tough buy or sell,2023-02-11 00:00:00,-1
212,"Sebi issues consultation paper on role, obligations of mutual fund trustees",2023-02-10 00:00:00,0
213,Sebi proposes changes in norms pertaining to non-convertible securities,2023-02-10 00:00:00,0
214,Indore civic body green bond subscribed 5.4 times on the first day,2023-02-10 00:00:00,1
215,Sensex snaps 2-day winning run amid weak global cues; metal stocks weigh,2023-02-10 00:00:00,1
216,"Awaiting Sebi response, says NSE chief Ashishkumar Chauhan on IPO",2023-02-10 00:00:00,0
217,"NSE removes Adani Ports, Ambuja Cements from surveillance framework",2023-02-10 00:00:00,1
218,"Mumbai, B'luru among best performing APAC residential markets: Knight Frank",2023-02-10 00:00:00,1
219,Indian stock markets to continue underperforming EM peers: Morgan Stanley,2023-02-10 00:00:00,-1
220,Sebi probing Adani's links with investors in aborted $2.5 billion FPO,2023-02-10 00:00:00,-1
221,"MSCI cuts HCL Tech's weightage; stock trades as top loser on Sensex, Nifty",2023-02-10 00:00:00,-1
222,"HG Infra hits 52-week high, rallies 13% in two days post Q3 results",2023-02-10 00:00:00,1
223,"M&M Finance, Blue Star: Trading strategies for 5 highly overbought stocks",2023-02-10 00:00:00,1
224,Stock of this Murugappa Group company has zoomed over 100% in 9 months,2023-02-10 00:00:00,1
225,Zomato dips 7% on profit booking as loss widens to Rs 347 crore in Q3,2023-02-10 00:00:00,-1
226,Paytm slips 9% intra-day as nearly 5% equity changes hands on NSE,2023-02-10 00:00:00,-1
227,"Adani Green, Adani Transmission, Adani Total Gas hit 52-week lows",2023-02-10 00:00:00,-1
228,Sustainalytics downgrades three Adani companies' governance scores,2023-02-10 00:00:00,-1
229,Index provider MSCI cuts 4 Adani group securities free-float designations,2023-02-10 00:00:00,-1
230,Hindenburg's accusations against Adani Group put money-laundering in focus,2023-02-10 00:00:00,-1
231,"Stocks to Watch: LIC, Zomato, Adani group, Varun Beverages, Voltas, M&M",2023-02-10 00:00:00,1
232,"Sensex dips 124 pts, smallcaps shine; Paytm cracks 9%, Tata Motors up 2%",2023-02-10 00:00:00,-1
233,Stocks of Adani Group remain in MSCI indices after quarterly review,2023-02-10 00:00:00,0
234,Trent's outperformance likely to continue on strong topline momentum,2023-02-09 00:00:00,0
235,"Sebi to MF trustees: Do not rely on assurances, evaluate independently",2023-02-09 00:00:00,0
236,"CDSL demat tally tops 80 million, overall count crosses 111 million",2023-02-09 00:00:00,1
237,Trade leaders demand to constitute digital payment regulation board,2023-02-09 00:00:00,0
238,"Page Industries slips 4%, hits 52-week low on disappointing Q3 results",2023-02-09 00:00:00,-1
239,"Equity funds log inflow of Rs 12,500 cr in Jan, small-caps top share",2023-02-09 00:00:00,1
240,"M&M's Q3 revenues may rise up to 42% YoY, fall in RM prices to aid margins",2023-02-09 00:00:00,1
241,"Hatchery stocks in focus: SKM Egg, Venky's, Simran Farms rally up to 10%",2023-02-09 00:00:00,1
242,Reserve Bank widening bond lending may shield bears from short squeezes,2023-02-09 00:00:00,1
243,"Grasim, UltraTech: Cement stocks eye up to 10% upside on GST review",2023-02-09 00:00:00,1
244,Adani Wilmar bucks weak trend in group companies; surges 5% post Q3 results,2023-02-09 00:00:00,1
245,Trent gains 7% on healthy revenue growth in December quarter,2023-02-09 00:00:00,1
246,"Cummins India surges 10%, hits record high on robust Q3 results",2023-02-09 00:00:00,1
247,"Customs duty cut, I-T slab rejig to boost consumer durable stocks: Analysts",2023-02-09 00:00:00,1
248,Adani group stocks under pressure as MSCI to review free float status,2023-02-09 00:00:00,-1
249,"Sensex rises 142 pts in fag-end, Nifty near 17,900; broader indices fall",2023-02-09 00:00:00,1
250,"Stocks to Watch: Adani group stocks, LIC, Reliance, L&T, Equitas SFB, Trent",2023-02-09 00:00:00,1
251,Sebi proposes bondholders' nod for related party transactions for companies,2023-02-09 00:00:00,0
252,Markets gain on dovish comments by US Fed chairman; Sensex rise 378 points,2023-02-08 00:00:00,1
253,"NSE Q3 net profit rises 55% to Rs 1,826 cr; revenue up 35% to Rs 3,263 cr",2023-02-08 00:00:00,1
254,"AEL adds another 20%, 7 Adani stocks up as group boosts investor confidence",2023-02-08 00:00:00,1
255,Aditya Birla Group announces entry into premium casual dining space,2023-02-08 00:00:00,1
256,Sebi allows 39 entities to use e-KYC Aadhaar authentication services in mkt,2023-02-08 00:00:00,1
257,"As volume challenges persist, Hero MotoCorp eyes recovery across segments",2023-02-08 00:00:00,1
258,Sebi amends rules governing mode of payment by market intermediaries,2023-02-08 00:00:00,0
259,Domestic shareholding NSE-listed firms hit fresh record high of 24.44%,2023-02-08 00:00:00,1
260,Sebi considering easing of RPT norms for high-value debt listed entities,2023-02-08 00:00:00,1
261,"New-age stocks in focus; Paytm, Policybazaar, Zomato, Nykaa gain up to 10%",2023-02-08 00:00:00,1
262,"Macquarie double upgrades Paytm to 'outperform', ups target price by 80%",2023-02-08 00:00:00,1
263,One client will not affect Indian banking system: RBI Guv on Adani row,2023-02-08 00:00:00,0
264,"Wonderla Holidays surges 13%, nears 52-week high on strong Q3 results",2023-02-08 00:00:00,1
265,Repo Rate Hike: Banking stocks may see sell-off if index stays under 42K,2023-02-08 00:00:00,1
266,This Adani group stock has bounced back over 100% in three days,2023-02-08 00:00:00,1
267,Bharti Airtel slips 3% despite over 91% YoY surge in December net,2023-02-08 00:00:00,-1
268,Here's why Macquarie has double upgraded Paytm's stock to 'Outperform',2023-02-08 00:00:00,1
269,Rate sensitives' display mixed trend after RBI hikes repo rate by 25 bps,2023-02-08 00:00:00,0
270,"Cement shares rally on hopes of GST cut; UltraTech, Ambuja gain 3%",2023-02-08 00:00:00,1
271,"Adani Enterprises, RBI policy takes Nifty above 17,850, Sensex leaps 378pts",2023-02-08 00:00:00,1
272,"Stocks to Watch: Bharti Airtel, Hero Moto, Adani Green, Ambuja Cement, NDTV",2023-02-08 00:00:00,1
273,3 more weeks to online bond platforms to register as stock brokers: Sebi,2023-02-07 00:00:00,0
274,Sebi moots institutional mechanism for stock brokers to curb market abuse,2023-02-07 00:00:00,0
275,"Sebi to put onus of detecting price rigging, insider trading on brokers",2023-02-07 00:00:00,0
276,Emerging market currencies to gain on better economic outlook: Reuters poll,2023-02-07 00:00:00,1
277,"Bank credit profiles not at much risk from Adani exposure, says Fitch",2023-02-07 00:00:00,1
278,"5G driving revenue growth in the top 20 markets, early movers get benefit",2023-02-07 00:00:00,1
279,Demat additions in Jan hit six-month high to take total past 110 mn,2023-02-07 00:00:00,1
280,"General insurer Go Digit's IPO plan delayed, Sebi returns issue papers",2023-02-07 00:00:00,-1
281,Coal import cannot be zero as thermal power projects designed for dry fuels,2023-02-07 00:00:00,0
282,Stock exchanges up scrutiny of traders whose exposure exceeds income,2023-02-07 00:00:00,0
283,"Balaji Amines slips 6%, hits 52-week low on disappointing Q3 results",2023-02-07 00:00:00,-1
284,Stock of this smallcap company has zoomed 58% in 6 days on strong Q3 result,2023-02-07 00:00:00,1
285,Stay selective on defensives amid current market volatility: Analysts,2023-02-07 00:00:00,0
286,CG Power hits new high on heavy volumes; stock surges 18% in one month,2023-02-07 00:00:00,1
287,Varun Beverages rallies 7% on strong December quarter earnings,2023-02-07 00:00:00,1
288,Paytm hits over 3-mth high; surges 28% in 2 days on improved Q3 performance,2023-02-07 00:00:00,1
289,"Adani Transmission, Adani Wilmar, NDTV snap 8-day losing streak, surge 5%",2023-02-07 00:00:00,-1
290,Tata Steel slips 5% on profit-booking after disappointing Q3 performance,2023-02-07 00:00:00,-1
291,"Sensex drops 221 pts day ahead of RBI decision; Adani Ent up 15%, Paytm 5%",2023-02-07 00:00:00,-1
292,"Stocks to Watch: Tata Steel, Hindalco, JK Paper, Muthoot Fin, Adani Ports",2023-02-07 00:00:00,1
