,Text,Date,Sentiment,Tok_text
110,Most Adani Group dollar bonds exit distressed levels on debt promises,2023-02-17 00:00:00,-1,adani group dollar bonds exit distressed levels debt promises
111,Markets decline over Fed officials' hawkish remarks; Sensex down 316 pts,2023-02-17 00:00:00,-1,markets decline fed officials hawkish remarks sensex pts
112,L&T MF and ex-officials settle inter-scheme transfer case with Sebi,2023-02-17 00:00:00,0,l mf ex officials settle inter scheme transfer case sebi
113,"Sebi aims to prune costs further for MF investors, may bring GST under TER",2023-02-17 00:00:00,-1,sebi aims prune costs mf investors bring gst ter
114,Kotak Mahindra Bank added to FTSE index nine years after being removed,2023-02-17 00:00:00,1,kotak mahindra bank added ftse index years removed
115,PTC Industries hits 10% upper circuit as arm wins Safran Aircraft order,2023-02-17 00:00:00,1,ptc industries hits upper circuit arm wins safran aircraft order
116,Bajaj Steel extends rally on sale of plastic division; stock spurts 13%,2023-02-17 00:00:00,1,bajaj steel extends rally sale plastic division stock spurts 
117,Stock of this iron & steel products company has zoomed 101% in 6 months,2023-02-17 00:00:00,1,stock iron steel products company zoomed months
118,"Defence stocks: HAL poised for a historic peak; BDL, BEL test key levels",2023-02-17 00:00:00,0,defence stocks hal poised historic peak bdl bel test key levels
119,"Ipca Labs slips 5%, hits 52-week low on weak December quarter results",2023-02-17 00:00:00,-1,ipca labs slips hits week low weak december quarter results
120,"Cement shares in focus; UltraTech, Dalmia Bharat hit 52-week highs",2023-02-17 00:00:00,1,cement shares focus ultratech dalmia bharat hit week highs
121,"Record gold price may not bring back sheen in Muthoot, Manappuram: Analysts",2023-02-17 00:00:00,0,record gold price bring sheen muthoot manappuram analysts
122,Medanta hits highest level since listing; stock surges 13% in 2 days,2023-02-17 00:00:00,1,medanta hits highest level listing stock surges days
123,"Minda Corp, Pricol surge up to 6% amid stake sale buzz",2023-02-17 00:00:00,1,minda corp pricol surge amid stake sale buzz
124,Dollar jumps to six-week high in early trade on higher rate expectations,2023-02-17 00:00:00,1,dollar jumps week high early trade higher rate expectations
125,"Sensex snaps 3-day winning run, sheds 317 pts; Banks, realty shares decline",2023-02-17 00:00:00,-1,sensex snaps day winning run sheds pts banks realty shares decline
126,"Stocks to watch: HDFC, Ambuja Cements, HAL, RailTel Corp, RPP Infra",2023-02-17 00:00:00,1,stocks watch hdfc ambuja cements hal railtel corp rpp infra
127,Global body Iosco flags challenges to operational independence,2023-02-16 00:00:00,-1,global body iosco flags challenges operational independence
128,"With returns no better than flexi-caps, ELSS faces an uncertain future",2023-02-16 00:00:00,-1,returns better flexi caps elss faces uncertain future
129,"India's exports rise in both value, volume terms in 2022: GTRI report",2023-02-16 00:00:00,1,india exports rise value volume terms gtri report
130,"FCI sells 385,000 tonnes wheat in open market via e-auction, control prices",2023-02-16 00:00:00,0,fci sells tonnes wheat open market auction control prices
131,"Gokaldas Exports hits 4-month high, rallies 15% in one week post Q3 results",2023-02-16 00:00:00,1,gokaldas exports hits month high rallies week post results
132,Bharat Dynamics soars 11% after it signs 10 MoUs at Aero India 2023,2023-02-16 00:00:00,1,bharat dynamics soars signs mous aero india 
133,"PI Industries extends rally, soars 12% in two days on better growth outlook",2023-02-16 00:00:00,1,pi industries extends rally soars days better growth outlook
134,"Half of Nifty 50 stocks yet to reclaim Budget peaks, breadth stays fragile",2023-02-16 00:00:00,1,half nifty stocks reclaim budget peaks breadth stays fragile
135,IT shares in focus; TCS hits 9-mth high; Tech Mahindra surges 11% in 2 days,2023-02-16 00:00:00,1,shares focus tcs hits mth high tech mahindra surges days
136,Indian shares rise after US retail sales data lifts global sentiment,2023-02-16 00:00:00,1,indian shares rise retail sales data lifts global sentiment
137,"Shares of ONGC, Oil India fire up as govt slashes windfall tax sharply",2023-02-16 00:00:00,1,shares ongc oil india fire govt slashes windfall tax sharply
138,New tax norm to hurt insurers; stocks attractive for the long run: Analysts,2023-02-16 00:00:00,-1,new tax norm hurt insurers stocks attractive long run analysts
139,InterGlobe Aviation slips 5% after 4% equity changes hands via block deal,2023-02-16 00:00:00,-1,interglobe aviation slips equity changes hands block deal
140,"Sensex, Nifty end flat amid late sell-off; IT, broader indices hold gains",2023-02-16 00:00:00,0,sensex nifty end flat amid late sell broader indices hold gains
141,"Stocks to watch: Nestle India, NTPC, HAL, Bharat Dynamics, MTNL, BEL",2023-02-16 00:00:00,1,stocks watch nestle india ntpc hal bharat dynamics mtnl bel
142,Street concerns over global slowdown weighs on Bharat Forge stock,2023-02-16 00:00:00,-1,street concerns global slowdown weighs bharat forge stock
143,"MFIs set for better days, as collection improves, loan sales jump",2023-02-15 00:00:00,1,mfis set better days collection improves loan sales jump
144,"Sensex pares early losses, Nifty reclaims 18K mark amid mixed global trends",2023-02-15 00:00:00,1,sensex pares early losses nifty reclaims mark amid mixed global trends
145,Retail investors keep faith on India stocks despite recent Adani rout,2023-02-15 00:00:00,0,retail investors faith india stocks despite recent adani rout
146,Global index provider MSCI mulls not including stocks under ASM in indices,2023-02-15 00:00:00,0,global index provider msci mulls including stocks asm indices
147,"NSE, CME Group tie up to launch Nymex crude, natural gas derivatives",2023-02-15 00:00:00,1,nse cme group tie launch nymex crude natural gas derivatives
148,FPI surpass retail in getting investment calls right in Dec 2022 quarter,2023-02-15 00:00:00,1,fpi surpass retail getting investment calls right dec quarter
149,ED raids mobile app offices in different cities dealing in cryptocurrencies,2023-02-15 00:00:00,-1,ed raids mobile app offices different cities dealing cryptocurrencies
150,Wheat prices fall by Rs 5/kg after launch of open market sale: Food Secy,2023-02-15 00:00:00,0,wheat prices fall rs kg launch open market sale food secy
151,"Rupa & Co, Dollar Ind, Kitex Garments hit 52-wk lows on weak Q3 results",2023-02-15 00:00:00,-1,rupa co dollar ind kitex garments hit wk lows weak results
152,Finolex Cables hits over 4-yr high;  stock up 15% in a week post strong Q3,2023-02-15 00:00:00,1,finolex cables hits yr high stock week post strong 
153,Eicher Motors rallies 5% on better than expected Q3 earnings,2023-02-15 00:00:00,1,eicher motors rallies better expected earnings
154,"Aero India Show: Defence stocks a good long-term bet, say analysts",2023-02-15 00:00:00,1,aero india defence stocks good long term bet analysts
155,"DLF, Sunteck Realty: Stay cautious; realty index violates key support level",2023-02-15 00:00:00,0,dlf sunteck realty stay cautious realty index violates key support level
156,"Nestle's Q4 revenues may rise up to 17% YoY, agri-inflation to dent margins",2023-02-15 00:00:00,0,nestle q revenues rise yoy agri inflation dent margins
157,"Siemens gains 3%, hits record high on strong operational performance in Q1",2023-02-15 00:00:00,1,siemens gains hits record high strong operational performance 
158,Bharat Forge dips 7% on weak performance of overseas subsidiaries in Q3,2023-02-15 00:00:00,-1,bharat forge dips weak performance overseas subsidiaries 
159,Mutual fund ownership of Adani group stocks is not very high: Equirus,2023-02-15 00:00:00,-1,mutual fund ownership adani group stocks high equirus
160,Torrent Power soars 9% post Q3 results; announces special dividend,2023-02-15 00:00:00,1,torrent power soars post results announces special dividend
161,"Sensex jumps 243 pts on late buying, Nifty reclaims 18,000; RIL gains 2%",2023-02-15 00:00:00,1,sensex jumps pts late buying nifty reclaims ril gains 
162,"Stocks to watch: Eicher Motors, Voda Idea, Siemens, Bharat Forge, ONGC",2023-02-15 00:00:00,1,stocks watch eicher motors voda idea siemens bharat forge ongc
163,"Sensex surges 600 points to scale 61,000-mark; ITC and RIL sparkle",2023-02-14 00:00:00,1,sensex surges points scale mark itc ril sparkle
164,"Budget slow on fiscal consolidation, ambitious on revenue target: S&P",2023-02-14 00:00:00,-1,budget slow fiscal consolidation ambitious revenue target p
165,Bonds recoup losses after inflation shock as long-term players step in,2023-02-14 00:00:00,-1,bonds recoup losses inflation shock long term players step 
166,Consumers in India becoming smart shoppers due to rising inflation: Study,2023-02-14 00:00:00,0,consumers india smart shoppers rising inflation study
167,Hindenburg effect: Trading volumes rose amid rout in Adani Group shares,2023-02-14 00:00:00,-1,hindenburg effect trading volumes rose amid rout adani group shares
168,Adani rout creates a dent in Quant MF portfolios as key holdings shed 24%,2023-02-14 00:00:00,-1,adani rout creates dent quant mf portfolios key holdings shed 
169,India a bright spot for investments despite current volatility: Blackstone,2023-02-14 00:00:00,1,india bright spot investments despite current volatility blackstone
170,Gold declines Rs 55; silver tumbles Rs 455 in Delhi: HDFC Securities,2023-02-14 00:00:00,-1,gold declines rs silver tumbles rs delhi hdfc securities
171,Adani Enterprises bounces 17% from day's low on massive jump in Q3 profit,2023-02-14 00:00:00,1,adani enterprises bounces day low massive jump profit
172,"Adani row: We have robust framework to deal with mkt volatility, says Sebi",2023-02-14 00:00:00,1,adani row robust framework deal mkt volatility says sebi
173,Stock of this smallcap company has zoomed over 50% in four trading days,2023-02-14 00:00:00,1,stock smallcap company zoomed trading days
174,Is the worst over for new-age tech companies? Here's what analysts say,2023-02-14 00:00:00,0,worst new age tech companies analysts 
175,ITC gains 3% a day ahead of turning ex-dividend; stock nears record high,2023-02-14 00:00:00,1,itc gains day ahead turning ex dividend stock nears record high
176,6 out of 10 Adani group stocks locked at 5% lower circuit in firm market,2023-02-14 00:00:00,-1, adani group stocks locked lower circuit firm market
177,Nykaa extends fall post Dec quarter results; stock down 8% in two days,2023-02-14 00:00:00,-1,nykaa extends fall post dec quarter results stock days
178,"Zee Entertainment dips 4%, nears 52-week low on weak Q3 results",2023-02-14 00:00:00,1,zee entertainment dips nears week low weak results
179,"ITC, RIL, ICICI Bank help lift Sensex 600 pts higher, Nifty above 17,900",2023-02-14 00:00:00,1,itc ril icici bank help lift sensex pts higher nifty 
180,"Stocks to watch: Adani Enterprises, ONGC, Nykaa, IRB Infra, Castrol India",2023-02-14 00:00:00,1,stocks watch adani enterprises ongc nykaa irb infra castrol india
181,Sensex extends losses for second day; IT and bank stocks top drags,2023-02-13 00:00:00,-1,sensex extends losses second day bank stocks drags
182,Info Edge: Investors must wait for sell-off to end before making new entry,2023-02-13 00:00:00,-1,info edge investors wait sell end making new entry
183,"Equity investors remain bullish on metal and mining stocks, shows data",2023-02-13 00:00:00,1,equity investors remain bullish metal mining stocks shows data
184,Baring Private Equity Asia sells 10% stake in Coforge through a block deal,2023-02-13 00:00:00,-1,baring private equity asia sells stake coforge block deal
185,CBI gets NSE go-ahead to prosecute Chitra Ramkrishna in colocation case,2023-02-13 00:00:00,-1,cbi gets nse ahead prosecute chitra ramkrishna colocation case
186,"Brokerages raise ratings on Nippon, HDFC AMCs following better Q3 show",2023-02-13 00:00:00,1,brokerages raise ratings nippon hdfc amcs following better 
187,"Infosys, TCS better equipped to weather ChatGPT-led disruption: JP Morgan",2023-02-13 00:00:00,1,infosys tcs better equipped weather chatgpt led disruption jp morgan
188,Domestic commercial vehicle sales volume likely to grow by 9-11% in FY24,2023-02-13 00:00:00,1,domestic commercial vehicle sales volume likely grow fy 
189,"Analysts cautious on mid, smallcaps; await earnings catch-up",2023-02-13 00:00:00,-1,analysts cautious mid smallcaps await earnings catch 
190,Brokerages downgrade Lupin post weak Q3; see up to 17% downside,2023-02-13 00:00:00,-1,brokerages downgrade lupin post weak downside
191,Info Edge slumps 10% on Rs 116 cr Q3 loss; writes-off invst in 4B Network,2023-02-13 00:00:00,-1,info edge slumps rs cr loss writes invst network
192,"MSCI revision: CG Power, Bank Baroda look bullish on charts; avoid Biocon",2023-02-13 00:00:00,-1,msci revision cg power bank baroda look bullish charts avoid biocon
193,City Union Bank shares crash 13.5% after Q3 earnings dip on quarterly basis,2023-02-13 00:00:00,-1,city union bank shares crash earnings dip quarterly basis
194,Balkrishna Industries tanks over 11% as Q3 profit plunges 68% YoY,2023-02-13 00:00:00,-1,balkrishna industries tanks profit plunges yoy
195,Sebi to update FM Nirmala Sitharaman on Adani Group probe this week,2023-02-13 00:00:00,0,sebi update fm nirmala sitharaman adani group probe week
196,Oil India hits 8-month high on highest-ever quarterly profit in Q3FY23,2023-02-13 00:00:00,1,oil india hits month high highest quarterly profit fy 
197,Coforge slides 7% as over 7 million equity shares change hands on bourses,2023-02-13 00:00:00,-1,coforge slides million equity shares change hands bourses
198,Glenmark Pharma jumps 5% post December quarter earnings,2023-02-13 00:00:00,1,glenmark pharma jumps post december quarter earnings
199,"Sensex slips 251 pts ahead of inflation data; SBI, IT shares fall",2023-02-13 00:00:00,-1,sensex slips pts ahead inflation data sbi shares fall
200,"Stocks to watch: M&M, Nykaa, SAIL, Sun Pharma, NALCO, Oil India, Tata Steel",2023-02-13 00:00:00,1,stocks watch m nykaa sail sun pharma nalco oil india tata steel
201,"YES Bank, PolicyBazaar added to FPI cart in October-December quarter",2023-02-13 00:00:00,1,yes bank policybazaar added fpi cart october december quarter
202,Fast food gets a lot slower: Downgrades to bite quick-service restaurants,2023-02-13 00:00:00,0,fast food gets lot slower downgrades bite quick service restaurants
203,"Street Signs: Anchor lock-in expiry, reversal of fortune for ETFs & more",2023-02-13 00:00:00,0,street signs anchor lock expiry reversal fortune etfs 
204,Sebi board likely to take up Adani stock rout at its meet this week,2023-02-12 00:00:00,-1,sebi board likely adani stock rout meet week
