Symbol,Company Name
CONCOR,Container Corporation of India Limited
UBL,United Breweries Limited
NYKAA,FSN E-Commerce Ventures Limited
AUBANK,AU Small Finance Bank Limited
PATANJALI,Patanjali Foods Limited
SCHAEFFLER,Schaeffler India Limited
MUTHOOTFIN,Muthoot Finance Limited
MAXHEALTH,Max Healthcare Institute Limited
IRFC,Indian Railway Finance Corporation Limited
ZYDUSLIFE,Zydus Lifesciences Limited
ASHOKLEY,Ashok Leyland Limited
COLPAL,Colgate Palmolive (India) Limited
CGPOWER,CG Power and Industrial Solutions Limited
BALKRISIND,Balkrishna Industries Limited
BHARATFORG,Bharat Forge Limited
NHPC,NHPC Limited
SOLARINDS,Solar Industries India Limited
ASTRAL,Astral Limited
TATAELXSI,Tata Elxsi Limited
LTTS,L&T Technology Services Limited
POLYCAB,Polycab India Limited
CUMMINSIND,Cummins India Limited
BANDHANBNK,Bandhan Bank Limited
UCOBANK,UCO Bank
MRF,MRF Limited
PFC,Power Finance Corporation Limited
SHRIRAMFIN,Shriram Finance Limited
MPHASIS,MphasiS Limited
HONAUT,Honeywell Automation India Limited
IDFCFIRSTB,IDFC First Bank Limited
TATACOMM,Tata Communications Limited
ABCAPITAL,Aditya Birla Capital Limited
BANKINDIA,Bank of India
NMDC,NMDC Limited
ALKEM,Alkem Laboratories Limited
INDIANB,Indian Bank
DALBHARAT,Dalmia Bharat Limited
PAYTM,One 97 Communications Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
SAIL,Steel Authority of India Limited
GODREJPROP,Godrej Properties Limited
JUBLFOOD,Jubilant Foodworks Limited
GUJGASLTD,Gujarat Gas Limited
LUPIN,Lupin Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
MANYAVAR,Vedant Fashions Limited
PETRONET,Petronet LNG Limited
OBEROIRLTY,Oberoi Realty Limited
BIOCON,Biocon Limited
GICRE,General Insurance Corporation of India
SUPREMEIND,Supreme Industries Limited
RECLTD,REC Limited
APLAPOLLO,APL Apollo Tubes Limited
UNOMINDA,UNO Minda Limited
PERSISTENT,Persistent Systems Limited
FEDERALBNK,The Federal Bank  Limited
LINDEINDIA,Linde India Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
IGL,Indraprastha Gas Limited
ESCORTS,Escorts Kubota Limited
CENTRALBK,Central Bank of India
BHEL,Bharat Heavy Electricals Limited
ABFRL,Aditya Birla Fashion and Retail Limited
DEEPAKNTR,Deepak Nitrite Limited
VOLTAS,Voltas Limited
OFSS,Oracle Financial Services Software Limited
COROMANDEL,Coromandel International Limited
GLAND,Gland Pharma Limited
MSUMI,Motherson Sumi Wiring India Limited
AUROPHARMA,Aurobindo Pharma Limited
SUNDARMFIN,Sundaram Finance Limited
PHOENIXLTD,The Phoenix Mills Limited
IDEA,Vodafone Idea Limited
3MINDIA,3M India Limited
SONACOMS,Sona BLW Precision Forgings Limited
ATUL,Atul Limited
SUMICHEM,Sumitomo Chemical India Limited
AIAENG,AIA Engineering Limited
FACT,Fertilizers and Chemicals Travancore Limited
DELHIVERY,Delhivery Limited
METROBRAND,Metro Brands Limited
GMRINFRA,GMR Airports Infrastructure Limited
TATACHEM,Tata Chemicals Limited
COFORGE,Coforge Limited
KANSAINER,Kansai Nerolac Paints Limited
TORNTPOWER,Torrent Power Limited
POONAWALLA,Poonawalla Fincorp Limited
SYNGENE,Syngene International Limited
THERMAX,Thermax Limited
MFSL,Max Financial Services Limited
TIMKEN,Timken India Limited
DIXON,Dixon Technologies (India) Limited
ZEEL,Zee Entertainment Enterprises Limited
PSB,Punjab & Sind Bank
LICHSGFIN,LIC Housing Finance Limited
RELAXO,Relaxo Footwears Limited
OIL,Oil India Limited
JKCEMENT,JK Cement Limited
CRISIL,CRISIL Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
SKFINDIA,SKF India Limited
AARTIIND,Aarti Industries Limited
DEVYANI,Devyani International Limited
L&TFH,L&T Finance Holdings Limited
RAJESHEXPO,Rajesh Exports Limited
FORTIS,Fortis Healthcare Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
IPCALAB,IPCA Laboratories Limited
BATAINDIA,Bata India Limited
NIACL,The New India Assurance Company Limited
APOLLOTYRE,Apollo Tyres Limited
MAHABANK,Bank of Maharashtra
VINATIORGA,Vinati Organics Limited
SUNDRMFAST,Sundram Fasteners Limited
PFIZER,Pfizer Limited
HATSUN,Hatsun Agro Product Limited
POLICYBZR,PB Fintech Limited
LAURUSLABS,Laurus Labs Limited
NAVINFLUOR,Navin Fluorine International Limited
PEL,Piramal Enterprises Limited
GRINDWELL,Grindwell Norton Limited
ENDURANCE,Endurance Technologies Limited
KPITTECH,KPIT Technologies Limited
SUNTV,Sun TV Network Limited
WHIRLPOOL,Whirlpool of India Limited
LALPATHLAB,Dr. Lal Path Labs Ltd.
EMAMILTD,Emami Limited
PRESTIGE,Prestige Estates Projects Limited
KAJARIACER,Kajaria Ceramics Limited
BLUEDART,Blue Dart Express Limited
IIFL,IIFL Finance Limited
TTML,Tata Teleservices (Maharashtra) Limited
FIVESTAR,Five-Star Business Finance Limited
KPRMILL,K.P.R. Mill Limited
FINEORG,Fine Organic Industries Limited
IRB,IRB Infrastructure Developers Limited
TRIDENT,Trident Limited
BDL,Bharat Dynamics Limited
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
CARBORUNIV,Carborundum Universal Limited
RAMCOCEM,The Ramco Cements Limited
GILLETTE,Gillette India Limited
ISEC,ICICI Securities Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
CLEAN,Clean Science and Technology Limited
IIFLWAM,Iifl Wealth Management Limited
NH,Narayana Hrudayalaya Ltd.
AJANTPHARM,Ajanta Pharma Limited
NAM-INDIA,Nippon Life India Asset Management Limited
EXIDEIND,Exide Industries Limited
APTUS,Aptus Value Housing Finance India Limited
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
GSPL,Gujarat State Petronet Limited
NATIONALUM,National Aluminium Company Limited
AAVAS,Aavas Financiers Limited
GODREJIND,Godrej Industries Limited
AFFLE,Affle (India) Limited
CREDITACC,CREDITACCESS GRAMEEN LIMITED
RVNL,Rail Vikas Nigam Limited
POWERINDIA,Hitachi Energy India Limited
REDINGTON,Redington Limited
DCMSHRIRAM,DCM Shriram Limited
BAJAJELEC,Bajaj Electricals Limited
KIOCL,KIOCL Limited
RATNAMANI,Ratnamani Metals & Tubes Limited
PPLPHARMA,Piramal Pharma Limited
ALKYLAMINE,Alkyl Amines Chemicals Limited
RADICO,Radico Khaitan Limited
RHIM,RHI MAGNESITA INDIA LIMITED
SANOFI,Sanofi India Limited
SJVN,SJVN Limited
CUB,City Union Bank Limited
ELGIEQUIP,Elgi Equipments Limited
INDIAMART,Indiamart Intermesh Limited
CGCL,Capri Global Capital Limited
KEI,KEI Industries Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
MAHINDCIE,Mahindra CIE Automotive Limited
NUVOCO,Nuvoco Vistas Corporation Limited
KALYANKJIL,Kalyan Jewellers India Limited
IDFC,IDFC Limited
LAXMIMACH,Lakshmi Machine Works Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
ASAHIINDIA,Asahi India Glass Limited
KEC,KEC International Limited
SFL,Sheela Foam Limited
SUVENPHAR,Suven Pharmaceuticals Limited
CAMPUS,Campus Activewear Limited
IEX,Indian Energy Exchange Limited
MEDANTA,Global Health Limited
JSL,Jindal Stainless Limited
KIMS,Krishna Institute of Medical Sciences Limited
RENUKA,Shree Renuka Sugars Limited
BASF,BASF India Limited
AEGISCHEM,Aegis Logistics Limited
CASTROLIND,Castrol India Limited
GLENMARK,Glenmark Pharmaceuticals Limited
NLCINDIA,NLC India Limited
CDSL,Central Depository Services (India) Limited
FINPIPE,Finolex Industries Limited
BLUESTARCO,Blue Star Limited
ASTERDM,Aster DM Healthcare Limited
CENTURYPLY,Century Plyboards (India) Limited
VGUARD,V-Guard Industries Limited
APLLTD,Alembic Pharmaceuticals Limited
TTKPRESTIG,TTK Prestige Limited
EIHOTEL,EIH Limited
GRINFRA,G R Infraprojects Limited
ANGELONE,Angel One Limited
UTIAMC,UTI Asset Management Company Limited
CAMS,Computer Age Management Services Limited
BIKAJI,Bikaji Foods International Limited
RBLBANK,RBL Bank Limited
BRIGADE,Brigade Enterprises Limited
TATAINVEST,Tata Investment Corporation Limited
SUZLON,Suzlon Energy Limited
HINDCOPPER,Hindustan Copper Limited
PVR,PVR Limited
AETHER,Aether Industries Limited
HUDCO,Housing & Urban Development Corporation Limited
JSLHISAR,Jindal Stainless (Hisar) Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
GODFRYPHLP,Godfrey Phillips India Limited
NATCOPHARM,Natco Pharma Limited
HFCL,HFCL Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
CESC,CESC Limited
SUNCLAYLTD,Sundaram Clayton Limited
AKZOINDIA,Akzo Nobel India Limited
EIDPARRY,EID Parry India Limited
ALLCARGO,Allcargo Logistics Limited
ITI,ITI Limited
MRPL,Mangalore Refinery and Petrochemicals Limited
MANAPPURAM,Manappuram Finance Limited
RAYMOND,Raymond Limited
AMARAJABAT,Amara Raja Batteries Limited
TANLA,Tanla Platforms Limited
JKLAKSHMI,JK Lakshmi Cement Limited
ZYDUSWELL,Zydus Wellness Limited
GESHIP,The Great Eastern Shipping Company Limited
VTL,Vardhman Textiles Limited
VIPIND,VIP Industries Limited
KRBL,KRBL Limited
EASEMYTRIP,Easy Trip Planners Limited
KARURVYSYA,Karur Vysya Bank Limited
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
GODREJAGRO,Godrej Agrovet Limited
PNBHOUSING,PNB Housing Finance Limited
CYIENT,Cyient Limited
TEJASNET,Tejas Networks Limited
ERIS,Eris Lifesciences Limited
BALAMINES,Balaji Amines Limited
GALAXYSURF,Galaxy Surfactants Limited
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
POLYMED,Poly Medicure Limited
JINDWORLD,Jindal Worldwide Limited
SAPPHIRE,Sapphire Foods India Limited
JUBLINGREA,Jubilant Ingrevia Limited
TRITURBINE,Triveni Turbine Limited
FINCABLES,Finolex Cables Limited
KALPATPOWR,Kalpataru Power Transmission Limited
MGL,Mahanagar Gas Limited
ASTRAZEN,AstraZeneca Pharma India Limited
BSOFT,BIRLASOFT LIMITED
RITES,RITES Limited
BALRAMCHIN,Balrampur Chini Mills Limited
SWANENERGY,Swan Energy Limited
CENTURYTEX,Century Textiles & Industries Limited
SHYAMMETL,Shyam Metalics and Energy Limited
SONATSOFTW,Sonata Software Limited
LXCHEM,Laxmi Organic Industries Limited
SHOPERSTOP,Shoppers Stop Limited
ALOKINDS,Alok Industries Limited
GRANULES,Granules India Limited
WELSPUNIND,Welspun India Limited
TMB,Tamilnad Mercantile Bank Limited
ROUTE,ROUTE MOBILE LIMITED
BIRLACORPN,Birla Corporation Limited
LATENTVIEW,Latent View Analytics Limited
JYOTHYLAB,Jyothy Labs Limited
RAINBOW,Rainbow Childrens Medicare Limited
SPLPETRO,Supreme Petrochem Limited
SAREGAMA,Saregama India Limited
RCF,Rashtriya Chemicals and Fertilizers Limited
PNCINFRA,PNC Infratech Limited
BSE,BSE Limited
CRAFTSMAN,Craftsman Automation Limited
MEDPLUS,Medplus Health Services Limited
EQUITASBNK,Equitas Small Finance Bank Limited
IBULHSGFIN,Indiabulls Housing Finance Limited
GRAPHITE,Graphite India Limited
ANURAS,Anupam Rasayan India Limited
CHEMPLASTS,Chemplast Sanmar Limited
KNRCON,KNR Constructions Limited
FSL,Firstsource Solutions Limited
CHALET,Chalet Hotels Limited
CANFINHOME,Can Fin Homes Limited
GMMPFAUDLR,GMM Pfaudler Limited
CCL,CCL Products (India) Limited
COCHINSHIP,Cochin Shipyard Limited
STLTECH,Sterlite Technologies Limited
NBCC,NBCC (India) Limited
HGS,Hinduja Global Solutions Limited
JKPAPER,JK Paper Limited
NETWORK18,Network18 Media & Investments Limited
TCIEXP,TCI Express Limited
APARINDS,Apar Industries Limited
JMFINANCIL,JM Financial Limited
TRIVENI,Triveni Engineering & Industries Limited
METROPOLIS,Metropolis Healthcare Limited
BLS,BLS International Services Limited
LEMONTREE,Lemon Tree Hotels Limited
CERA,Cera Sanitaryware Limited
INDIACEM,The India Cements Limited
KSB,Ksb Limited
CEATLTD,CEAT Limited
BORORENEW,BOROSIL RENEWABLES LIMITED
PRINCEPIPE,Prince Pipes And Fittings Limited
PGHL,Procter & Gamble Health Limited
PRAJIND,Praj Industries Limited
ECLERX,eClerx Services Limited
ACI,Archean Chemical Industries Limited
GOCOLORS,Go Fashion (India) Limited
HOMEFIRST,Home First Finance Company India Limited
GARFIBRES,Garware Technical Fibres Limited
ESABINDIA,Esab India Limited
AMBER,Amber Enterprises India Limited
TV18BRDCST,TV18 Broadcast Limited
SCI,Shipping Corporation Of India Limited
SYMPHONY,Symphony Limited
BBTC,Bombay Burmah Trading Corporation Limited
WELCORP,Welspun Corp Limited
INDIGOPNTS,Indigo Paints Limited
BEML,BEML Limited
INOXLEISUR,INOX Leisure Limited
QUESS,Quess Corp Limited
JBMA,JBM Auto Limited
INGERRAND,Ingersoll Rand (India) Limited
INTELLECT,Intellect Design Arena Limited
EDELWEISS,Edelweiss Financial Services Limited
JUBLPHARMA,Jubilant Pharmova Limited
BCG,Brightcom Group Limited
GAEL,Gujarat Ambuja Exports Limited
RTNINDIA,RattanIndia Enterprises Limited
KFINTECH,Kfin Technologies Limited
SPARC,Sun Pharma Advanced Research Company Limited
RAIN,Rain Industries Limited
SIS,SIS LIMITED
DELTACORP,Delta Corp Limited
DATAPATTNS,Data Patterns (India) Limited
MMTC,MMTC Limited
UJJIVANSFB,Ujjivan Small Finance Bank Limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
RUSTOMJEE,Keystone Realtors Limited
MAHLIFE,Mahindra Lifespace Developers Limited
VMART,V-Mart Retail Limited
IRCON,Ircon International Limited
RELIGARE,Religare Enterprises Limited
ORIENTELEC,Orient Electric Limited
MAPMYINDIA,C.E. Info Systems Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
RBA,Restaurant Brands Asia Limited
SOBHA,Sobha Limited
J&KBANK,The Jammu & Kashmir Bank Limited
EPL,EPL Limited
MHRIL,Mahindra Holidays & Resorts India Limited
CAPLIPOINT,Caplin Point Laboratories Limited
NCC,NCC Limited
MAHSCOOTER,Maharashtra Scooters Limited
GPIL,Godawari Power And Ispat limited
PRSMJOHNSN,Prism Johnson Limited
AVANTIFEED,Avanti Feeds Limited
USHAMART,Usha Martin Limited
MFL,Meghmani Finechem Limited
JPPOWER,Jaiprakash Power Ventures Limited
GLS,Glenmark Life Sciences Limited
MASTEK,Mastek Limited
VAIBHAVGBL,Vaibhav Global Limited
VSTIND,VST Industries Limited
SWSOLAR,Sterling and Wilson Renewable Energy Limited
JUSTDIAL,Just Dial Limited
HIKAL,Hikal Limited
POLYPLEX,Polyplex Corporation Limited
MTARTECH,Mtar Technologies Limited
SYRMA,Syrma SGS Technology Limited
LUXIND,Lux Industries Limited
ROLEXRINGS,Rolex Rings Limited
PCBL,PCBL LIMITED
MINDACORP,Minda Corporation Limited
RPOWER,Reliance Power Limited
GHCL,GHCL Limited
GPPL,Gujarat Pipavav Port Limited
JSWHL,JSW Holdings Limited
SUNTECK,Sunteck Realty Limited
ZENSARTECH,Zensar Technologies Limited
CMSINFO,CMS Info Systems Limited
TCI,Transport Corporation of India Limited
PARADEEP,Paradeep Phosphates Limited
VRLLOG,VRL Logistics Limited
TATVA,Tatva Chintan Pharma Chem Limited
KTKBANK,The Karnataka Bank Limited
RALLIS,Rallis India Limited
KIRLOSENG,Kirloskar Oil Engines Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
SHARDACROP,Sharda Cropchem Limited
STARCEMENT,Star Cement Limited
ARVINDFASN,Arvind Fashions Limited
SUPRAJIT,Suprajit Engineering Limited
PDSL,PDS Limited
VARROC,Varroc Engineering Limited
JKTYRE,JK Tyre & Industries Limited
RAJRATAN,Rajratan Global Wire Limited
FDC,FDC Limited
PRIVISCL,Privi Speciality Chemicals Limited
VIJAYA,Vijaya Diagnostic Centre Limited
INFIBEAM,Infibeam Avenues Limited
ENGINERSIN,Engineers India Limited
MASFIN,MAS Financial Services Limited
ICRA,ICRA Limited
IBREALEST,Indiabulls Real Estate Limited
KAYNES,Kaynes Technology India Limited
MAHSEAMLES,Maharashtra Seamless Limited
TEAMLEASE,Teamlease Services Limited
NESCO,Nesco Limited
EQUITAS,Equitas Holdings Limited
AARTIDRUGS,Aarti Drugs Limited
HEIDELBERG,HeidelbergCement India Limited
LAOPALA,La Opala RG Limited
HSCL,Himadri Speciality Chemical Limited
RKFORGE,Ramkrishna Forgings Limited
NIITLTD,NIIT Limited
JAMNAAUTO,Jamna Auto Industries Limited
SPANDANA,Spandana Sphoorty Financial Limited
BOROLTD,Borosil Limited
GREENPANEL,Greenpanel Industries Limited
BHARATRAS,Bharat Rasayan Limited
CSBBANK,CSB Bank Limited
PRUDENT,Prudent Corporate Advisory Services Limited
GREENLAM,Greenlam Industries Limited
ELECON,Elecon Engineering Company Limited
RAILTEL,Railtel Corporation Of India Limited
MIDHANI,Mishra Dhatu Nigam Limited
TATACOFFEE,Tata Coffee Limited
OLECTRA,Olectra Greentech Limited
UFLEX,UFLEX Limited
IONEXCHANG,ION Exchange (India) Limited
HGINFRA,H.G. Infra Engineering Limited
ROSSARI,Rossari Biotech Limited
HCG,Healthcare Global Enterprises Limited
SHAREINDIA,Share India Securities Limited
SAFARI,Safari Industries (India) Limited
HEG,HEG Limited
SCHNEIDER,Schneider Electric Infrastructure Limited
DCBBANK,DCB Bank Limited
SANSERA,Sansera Engineering Limited
SOUTHBANK,The South Indian Bank Limited
NOCIL,NOCIL Limited
PCJEWELLER,PC Jeweller Limited
TEGA,Tega Industries Limited
NAZARA,Nazara Technologies Limited
NFL,National Fertilizers Limited
BARBEQUE,Barbeque Nation Hospitality Limited
INDOCO,Indoco Remedies Limited
DAAWAT,LT Foods Limited
TARSONS,Tarsons Products Limited
JTEKTINDIA,Jtekt India Limited
SARDAEN,Sarda Energy & Minerals Limited
FUSION,Fusion Micro Finance Limited
IFBIND,IFB Industries Limited
ANANTRAJ,Anant Raj Limited
RELINFRA,Reliance Infrastructure Limited
ACE,Action Construction Equipment Limited
MAHLOG,Mahindra Logistics Limited
TECHNOE,Techno Electric & Engineering Company Limited
NAVA,NAVA LIMITED
JWL,Jupiter Wagons Limited
ISGEC,Isgec Heavy Engineering Limited
AMIORG,Ami Organics Limited
TINPLATE,The Tinplate Company of India Limited
BANARISUG,Bannari Amman Sugars Limited
JINDALPOLY,Jindal Poly Films Limited
HARSHA,Harsha Engineers International Limited
PAISALO,Paisalo Digital Limited
WSTCSTPAPR,West Coast Paper Mills Limited
ASTEC,Astec LifeSciences Limited
DISHTV,Dish TV India Limited
GATEWAY,Gateway Distriparks Limited
UJJIVAN,Ujjivan Financial Services Limited
THOMASCOOK,Thomas Cook  (India)  Limited
DHANUKA,Dhanuka Agritech Limited
EMIL,Electronics Mart India Limited
JINDALSAW,Jindal Saw Limited
MOIL,MOIL Limited
THYROCARE,Thyrocare Technologies Limited
VESUVIUS,Vesuvius India Limited
GREAVESCOT,Greaves Cotton Limited
TCNSBRANDS,TCNS Clothing Co. Limited
WOCKPHARMA,Wockhardt Limited
HINDWAREAP,Hindware Home Innovation Limited
DBREALTY,D B Realty Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
DBL,Dilip Buildcon Limited
KKCL,Kewal Kiran Clothing Limited
STAR,Strides Pharma Science Limited
ADVENZYMES,Advanced Enzyme Technologies Limited
RESPONIND,Responsive Industries Limited
MOLDTKPAC,Mold-Tek Packaging Limited
NEOGEN,Neogen Chemicals Limited
GRAVITA,Gravita India Limited
RATEGAIN,Rategain Travel Technologies Limited
DALMIASUG,Dalmia Bharat Sugar and Industries Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
HEMIPROP,Hemisphere Properties India Limited
HATHWAY,Hathway Cable & Datacom Limited
TATASTLLP,Tata Steel Long Products Limited
SAGCEM,Sagar Cements Limited
ITDC,India Tourism Development Corporation Limited
HCC,Hindustan Construction Company Limited
IFCI,IFCI Limited
KSCL,Kaveri Seed Company Limited
INOXWIND,Inox Wind Limited
DODLA,Dodla Dairy Limited
RSYSTEMS,R Systems International Limited
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
AUTOAXLES,Automotive Axles Limited
MIRZAINT,Mirza International Limited
GET&D,GE T&D India Limited
POWERMECH,Power Mech Projects Limited
MAITHANALL,Maithan Alloys Limited
VAKRANGEE,Vakrangee Limited
HBLPOWER,HBL Power Systems Limited
ANANDRATHI,Anand Rathi Wealth Limited
GANESHHOUC,Ganesh Housing Corporation Limited
IPL,India Pesticides Limited
NAVNETEDUL,Navneet Education Limited
MOL,Meghmani Organics Limited
NILKAMAL,Nilkamal Limited
VOLTAMP,Voltamp Transformers Limited
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
FCL,Fineotex Chemical Limited
SULA,Sula Vineyards Limited
MANINFRA,Man Infraconstruction Limited
SUDARSCHEM,Sudarshan Chemical Industries Limited
TASTYBITE,Tasty Bite Eatables Limited
VENKEYS,Venky's (India) Limited
TWL,Titagarh Wagons Limited
GABRIEL,Gabriel India Limited
JAICORPLTD,Jai Corp Limited
SURYAROSNI,Surya Roshni Limited
ICIL,Indo Count Industries Limited
SHANTIGEAR,Shanthi Gears Limited
OPTIEMUS,Optiemus Infracom Limited
EVEREADY,Eveready Industries India Limited
UNIPARTS,Uniparts India Limited
GRMOVER,GRM Overseas Limited
KIRLOSBROS,Kirloskar Brothers Limited
SHRIPISTON,Shriram Pistons & Rings Limited
TATAMETALI,Tata Metaliks Limited
PSPPROJECT,PSP Projects Limited
ORIENTCEM,Orient Cement Limited
NEWGEN,Newgen Software Technologies Limited
ASHOKA,Ashoka Buildcon Limited
CAMLINFINE,Camlin Fine Sciences Limited
DHANI,Dhani Services Limited
WELENT,Welspun Enterprises Limited
SSWL,Steel Strips Wheels Limited
CHOICEIN,Choice International Limited
ASTRAMICRO,Astra Microwave Products Limited
EMUDHRA,eMudhra Limited
BECTORFOOD,Mrs. Bectors Food Specialities Limited
SIYSIL,Siyaram Silk Mills Limited
JPASSOCIAT,Jaiprakash Associates Limited
BAJAJCON,Bajaj Consumer Care Limited
KIRIINDUS,Kiri Industries Limited
JAYNECOIND,Jayaswal Neco Industries Limited
GLOBUSSPR,Globus Spirits Limited
APCOTEXIND,Apcotex Industries Limited
SHILPAMED,Shilpa Medicare Limited
PGEL,PG Electroplast Limited
PTC,PTC India Limited
MBAPL,Madhya Bharat Agro Products Limited
DOLLAR,Dollar Industries Limited
BSHSL,Bombay Super Hybrid Seeds Limited
ETHOSLTD,Ethos Limited
INDIAGLYCO,India Glycols Limited
TVSSRICHAK,TVS Srichakra Limited
MARKSANS,Marksans Pharma Limited
PARAS,Paras Defence and Space Technologies Limited
SBCL,Shivalik Bimetal Controls Limited
ARVIND,Arvind Limited
PRICOLLTD,Pricol Limited
DFMFOODS,DFM Foods Limited
JMCPROJECT,JMC Projects (India)  Limited
TIPSINDLTD,TIPS Industries Limited
ELECTCAST,Electrosteel Castings Limited
FIEMIND,Fiem Industries Limited
HONDAPOWER,Honda India Power Products Limited
SEAMECLTD,Seamec Limited
BBOX,Black Box Limited
